Instrument,Date,TimeStamp,Bid,Ask,BidQty,AskQty
DI1F19,6/19/2018,7:00:32,7.13,7.2,550,55
DI1F19,6/19/2018,7:00:33,7.13,7.2,550,55
DI1F19,6/19/2018,7:00:34,7.13,7.2,550,55
DI1F19,6/19/2018,7:00:35,7.13,7.2,550,55
DI1F19,6/19/2018,7:00:36,7.13,7.2,550,55
DI1F19,6/19/2018,7:00:37,7.13,7.2,550,55
DI1F19,6/19/2018,7:00:38,7.13,7.2,550,55
DI1F19,6/19/2018,7:00:39,7.13,7.2,550,55
DI1F19,6/19/2018,7:00:40,7.13,7.2,550,55
DI1F19,6/19/2018,7:00:41,7.13,7.2,550,55
DI1F19,6/19/2018,7:00:42,7.13,7.2,550,55
DI1F19,6/19/2018,7:00:43,7.13,7.2,550,55
DI1F19,6/19/2018,7:00:44,7.13,7.2,550,55
DI1F19,6/19/2018,7:00:45,7.13,7.2,550,55
DI1F19,6/19/2018,7:00:46,7.13,7.2,50,55
DI1F19,6/19/2018,7:00:47,7.13,7.2,50,55
DI1F19,6/19/2018,7:00:48,7.13,7.2,50,55
DI1F19,6/19/2018,7:00:49,7.13,7.2,50,55
DI1F19,6/19/2018,7:00:50,7.13,7.2,50,55
DI1F19,6/19/2018,7:00:51,7.13,7.2,50,55
DI1F19,6/19/2018,7:00:52,7.13,7.2,50,55
DI1F19,6/19/2018,7:00:53,7.13,7.2,50,55
DI1F19,6/19/2018,7:00:54,7.13,7.2,50,55
DI1F19,6/19/2018,7:00:55,7.13,7.2,50,55
DI1F19,6/19/2018,7:00:56,7.13,7.2,50,55
DI1F19,6/19/2018,7:00:57,7.13,7.2,50,55
DI1F19,6/19/2018,7:00:58,7.13,7.2,50,55
DI1F19,6/19/2018,7:00:59,7.13,7.2,50,55
DI1F19,6/19/2018,7:01:00,7.13,7.2,50,55
DI1F19,6/19/2018,7:01:01,7.13,7.2,50,55
DI1F19,6/19/2018,7:01:02,7.13,7.2,50,55
DI1F19,6/19/2018,7:01:03,7.13,7.2,50,55
DI1F19,6/19/2018,7:01:04,7.13,7.2,50,55
DI1F19,6/19/2018,7:01:05,7.13,7.2,50,55
DI1F19,6/19/2018,7:01:06,7.13,7.2,50,55
DI1F19,6/19/2018,7:01:07,7.13,7.2,50,55
DI1F19,6/19/2018,7:01:08,7.13,7.2,50,55
DI1F19,6/19/2018,7:01:09,7.13,7.2,50,55
DI1F19,6/19/2018,7:01:10,7.13,7.2,50,55
DI1F19,6/19/2018,7:01:11,7.13,7.2,50,55
DI1F19,6/19/2018,7:01:12,7.13,7.2,50,55
DI1F19,6/19/2018,7:01:13,7.13,7.2,50,55
DI1F19,6/19/2018,7:01:14,7.13,7.2,50,55
DI1F19,6/19/2018,7:01:15,7.13,7.2,50,55
DI1F19,6/19/2018,7:01:16,7.13,7.2,50,55
DI1F19,6/19/2018,7:01:17,7.13,7.2,50,55
DI1F19,6/19/2018,7:01:18,7.13,7.2,50,55
DI1F19,6/19/2018,7:01:19,7.13,7.2,50,55
DI1F19,6/19/2018,7:01:20,7.13,7.2,50,55
