Time,AskPrice,AskSize,BidPrice,BidSize,VOI,OIR,Spread,PriceChange,MPB,VOI_Norm,OIR_Norm,MPB_Norm
2018-07-16 07:00:00-05:00,280325,118,280300,74,0,-0.229166667,25,0,0,0,-0.009166667,0
2018-07-16 07:00:00.100000-05:00,280300,85,280275,35,-85,-0.416666667,25,-25,-12.5,-3.4,-0.016666667,-0.5
2018-07-16 07:00:00.200000-05:00,280300,81,280275,49,18,-0.246153846,25,0,0,0.72,-0.009846154,0
2018-07-16 07:00:00.300000-05:00,280300,81,280275,49,0,-0.246153846,25,0,0,0,-0.009846154,0
2018-07-16 07:00:00.400000-05:00,280300,81,280275,49,0,-0.246153846,25,0,0,0,-0.009846154,0
2018-07-16 07:00:00.500000-05:00,280300,81,280275,40,-9,-0.338842975,25,0,0,-0.36,-0.013553719,0
2018-07-16 07:00:00.600000-05:00,280300,80,280275,56,17,-0.176470588,25,0,-7.43006993,0.68,-0.007058824,-0.297202797
2018-07-16 07:00:00.700000-05:00,280300,82,280275,59,1,-0.163120567,25,0,-7.43006993,0.04,-0.006524823,-0.297202797
2018-07-16 07:00:00.800000-05:00,280300,82,280275,59,0,-0.163120567,25,0,-7.43006993,0,-0.006524823,-0.297202797
2018-07-16 07:00:00.900000-05:00,280300,82,280275,60,1,-0.154929577,25,0,-7.43006993,0.04,-0.006197183,-0.297202797
2018-07-16 07:00:01-05:00,280300,82,280275,59,-1,-0.163120567,25,0,-7.43006993,-0.04,-0.006524823,-0.297202797
2018-07-16 07:00:01.100000-05:00,280300,82,280275,59,0,-0.163120567,25,0,-7.43006993,0,-0.006524823,-0.297202797
2018-07-16 07:00:01.200000-05:00,280300,82,280275,56,-3,-0.188405797,25,0,-7.43006993,-0.12,-0.007536232,-0.297202797
2018-07-16 07:00:01.300000-05:00,280300,82,280275,56,0,-0.188405797,25,0,-7.43006993,0,-0.007536232,-0.297202797
2018-07-16 07:00:01.400000-05:00,280300,82,280275,58,2,-0.171428571,25,0,-7.43006993,0.08,-0.006857143,-0.297202797
2018-07-16 07:00:01.500000-05:00,280300,92,280275,58,-10,-0.226666667,25,0,-7.43006993,-0.4,-0.009066667,-0.297202797
2018-07-16 07:00:01.600000-05:00,280300,92,280275,58,0,-0.226666667,25,0,-7.43006993,0,-0.009066667,-0.297202797
2018-07-16 07:00:01.700000-05:00,280300,92,280275,58,0,-0.226666667,25,-1.25,-7.43006993,0,-0.009066667,-0.297202797
2018-07-16 07:00:01.800000-05:00,280300,93,280275,58,-1,-0.231788079,25,-2.5,-7.43006993,-0.04,-0.009271523,-0.297202797
2018-07-16 07:00:01.900000-05:00,280300,93,280275,62,4,-0.2,25,-3.75,-7.43006993,0.16,-0.008,-0.297202797
2018-07-16 07:00:02-05:00,280300,93,280275,62,0,-0.2,25,-3.75,-7.43006993,0,-0.008,-0.297202797
2018-07-16 07:00:02.100000-05:00,280300,92,280275,59,-2,-0.218543046,25,-5,-7.43006993,-0.08,-0.008741722,-0.297202797
2018-07-16 07:00:02.200000-05:00,280300,92,280275,62,3,-0.194805195,25,-6.25,-7.43006993,0.12,-0.007792208,-0.297202797
2018-07-16 07:00:02.300000-05:00,280300,92,280275,62,0,-0.194805195,25,-7.5,-7.43006993,0,-0.007792208,-0.297202797
2018-07-16 07:00:02.400000-05:00,280300,92,280275,62,0,-0.194805195,25,-8.75,-7.43006993,0,-0.007792208,-0.297202797
2018-07-16 07:00:02.500000-05:00,280300,93,280275,64,1,-0.184713376,25,-10,-7.43006993,0.04,-0.007388535,-0.297202797
2018-07-16 07:00:02.600000-05:00,280300,101,280275,47,-25,-0.364864865,25,-11.25,-7.43006993,-1,-0.014594595,-0.297202797
2018-07-16 07:00:02.700000-05:00,280300,96,280275,47,5,-0.342657343,25,-12.5,-7.43006993,0.2,-0.013706294,-0.297202797
2018-07-16 07:00:02.800000-05:00,280300,96,280275,47,0,-0.342657343,25,-13.75,-7.43006993,0,-0.013706294,-0.297202797
2018-07-16 07:00:02.900000-05:00,280300,94,280275,47,2,-0.333333333,25,-16.25,-12.5,0.08,-0.013333333,-0.5
2018-07-16 07:00:03-05:00,280300,104,280275,36,-21,-0.485714286,25,-18.75,-12.5,-0.84,-0.019428571,-0.5
2018-07-16 07:00:03.100000-05:00,280300,104,280275,33,-3,-0.518248175,25,-21.25,-12.5,-0.12,-0.020729927,-0.5
